"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"10","50","5","1","0","0","0","0","0","0","0"
"11","50","2","0","0","0","0","0","0","0","0"
"12","50","6","2","0","0","0","0","0","0","0"
"13","50","8","2","0","0","0","0","0","0","0"
"14","50","7","1","0","0","0","0","0","0","0"
"15","50","4","1","0","0","0","0","0","0","0"
"16","50","8","1","0","0","0","0","0","0","0"
"17","50","3","2","0","0","0","0","0","0","0"
"18","50","5","0","0","0","0","0","0","0","0"
"19","50","3","1","0","0","0","0","1","0","0"
"1","52","4","1","0","0","0","0","0","0","0"
"2","52","6","1","0","0","0","0","0","0","0"
"3","52","5","2","0","0","0","0","1","0","0"
"4","52","4","1","0","0","0","0","0","0","0"
"5","52","4","2","0","0","3","0","0","0","0"
"6","52","6","3","0","0","0","0","1","0","0"
"8","52","4","1","0","0","0","0","1","0","0"
"7","52","3","1","0","0","0","0","0","0","0"
"9","52","4","1","0","0","0","0","0","0","0"
"12","52","3","1","0","0","0","0","0","0","0"
"11","52","4","2","0","0","1","0","0","0","0"
"10","52","4","2","0","0","1","0","0","0","0"
"13","52","7","3","0","0","0","0","0","0","0"
"14","52","2","1","0","0","1","0","0","0","0"
"15","52","4","0","0","0","0","0","0","0","0"
"16","52","4","1","0","0","3","0","0","0","0"
"17","52","4","1","0","0","0","0","0","0","0"
"19","52","2","0","0","0","1","0","0","0","0"
"19","44","10","2","0","0","0","0","0","0","0"
"18","44","3","1","0","0","0","0","1","0","0"
"17","44","5","2","0","0","0","0","0","0","0"
"16","44","6","3","0","0","0","0","1","0","0"
"15","44","11","2","0","0","0","0","0","0","0"
"14","44","4","2","0","0","0","0","0","0","0"
"13","44","9","2","0","0","0","0","0","0","0"
"12","44","11","3","0","0","0","0","1","0","0"
"9","44","9","0","0","0","0","0","0","0","0"
"8","44","4","2","0","0","0","0","0","0","0"
"10","44","4","1","0","0","0","0","0","0","0"
"11","44","8","1","0","0","0","0","0","0","0"
"7","44","3","0","0","0","0","0","0","0","0"
"6","44","4","2","0","0","0","0","0","0","0"
"5","44","5","3","0","0","0","0","1","0","0"
"4","44","6","2","0","0","0","0","0","0","0"
"3","44","3","1","0","0","0","0","0","0","0"
"2","44","2","1","0","0","1","0","0","0","0"
"1","44","6","2","0","0","0","0","0","0","0"
"19","55","4","3","0","0","2","0","0","0","0"
"17","55","8","1","0","0","0","0","0","0","0"
"18","55","5","3","0","0","0","0","0","0","0"
"16","55","3","1","0","0","0","0","0","0","0"
"15","55","2","1","0","0","2","0","0","0","0"
"14","55","3","1","0","0","0","0","0","0","0"
"13","55","3","1","0","0","0","0","0","0","0"
"12","55","5","1","0","0","0","0","0","0","0"
"11","55","2","1","0","0","3","0","0","0","0"
"9","55","4","2","0","0","0","0","0","0","0"
"10","55","5","3","0","0","0","0","1","0","0"
"8","55","5","0","0","0","0","0","0","0","0"
"6","55","2","1","0","0","1","0","0","0","0"
"7","55","5","2","0","0","0","0","0","0","0"
"5","55","3","2","0","0","0","0","0","0","0"
"4","55","6","1","0","0","1","0","0","0","0"
"2","55","3","2","0","0","1","0","0","0","0"
"3","55","4","1","0","0","0","0","0","0","0"
"1","55","2","0","0","0","3","0","0","0","0"
