"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"26","16","6","1","0","0","0","0","0","0","0"
"25","16","4","2","0","0","0","0","0","0","0"
"24","16","8","3","0","0","0","0","0","0","0"
"23","16","6","0","0","0","0","0","0","0","0"
"22","16","3","1","0","0","0","0","0","0","0"
"21","16","6","2","0","0","0","0","0","0","0"
"20","16","4","1","0","0","0","0","0","0","0"
"19","16","8","0","0","0","0","0","0","0","0"
"18","16","5","2","0","0","0","0","0","0","0"
"17","16","5","1","0","0","0","0","0","0","0"
"16","16","8","0","0","0","0","0","0","0","0"
"15","16","4","1","0","0","0","0","0","0","0"
"14","16","6","2","0","0","0","0","0","0","0"
"13","16","4","0","0","0","0","0","0","0","0"
"12","16","6","3","0","0","0","0","0","0","0"
"11","16","7","0","0","0","0","0","0","0","0"
"10","16","4","2","0","0","0","0","0","0","0"
"9","16","8","1","0","0","0","0","0","0","0"
"8","16","7","0","0","0","0","0","0","0","0"
"7","16","5","2","0","0","0","0","0","0","0"
"6","16","6","2","0","0","0","0","0","0","0"
"5","16","9","2","0","0","0","0","0","0","0"
"4","16","7","2","1","0","0","0","0","0","0"
"3","16","6","2","0","0","0","0","0","0","0"
"2","16","9","0","0","0","0","0","0","0","0"
"1","16","7","0","0","0","0","0","0","0","0"
"1","2","4","2","0","0","0","0","0","0","0"
"2","2","6","3","0","0","0","0","0","0","0"
"3","2","5","0","0","0","0","0","0","0","0"
"6","2","6","1","0","0","0","0","0","0","0"
"5","2","9","2","0","0","0","0","0","1","0"
"4","2","6","0","0","0","0","0","0","0","0"
"7","2","7","2","0","0","0","0","0","0","0"
"8","2","4","1","0","0","0","0","0","0","0"
"9","2","6","2","0","0","0","0","0","0","0"
"10","2","3","1","0","0","0","0","0","0","0"
"11","2","5","2","0","0","0","0","0","0","0"
"12","2","7","2","0","0","0","0","0","0","0"
"13","2","4","0","0","0","0","0","0","0","0"
"14","2","7","2","0","0","0","0","0","0","0"
"15","2","10","1","0","0","0","0","0","0","0"
"16","2","4","2","0","0","0","0","0","0","0"
"17","2","7","0","0","0","0","0","0","0","0"
"18","2","5","1","0","0","0","0","0","0","0"
"19","2","4","0","0","0","0","0","0","0","0"
"20","2","6","3","0","0","0","0","0","0","0"
"21","2","4","1","0","0","0","0","0","0","0"
"22","2","6","1","0","0","0","0","0","0","0"
"23","2","4","2","0","0","0","0","0","0","0"
"24","2","6","2","0","0","0","0","","0","0"
"25","2","9","0","1","0","0","0","0","0","0"
"26","2","7","3","0","0","0","0","0","0","0"
"27","2","6","2","0","0","0","0","0","0","0"
"1","13","8","0","0","0","0","0","0","0","0"
"2","13","6","3","0","0","0","0","0","0","0"
"3","13","4","2","0","0","0","0","0","0","0"
"4","13","6","2","0","0","0","0","0","0","0"
"5","13","6","0","0","0","0","0","0","0","0"
"6","13","5","2","0","0","0","0","0","0","0"
"7","13","7","1","0","0","0","0","0","0","0"
"9","13","9","0","0","0","0","0","0","0","0"
"10","13","5","1","0","0","0","0","0","0","0"
"11","13","5","3","0","0","0","0","0","0","0"
"12","13","7","0","0","0","1","0","0","0","0"
"14","13","5","2","0","0","0","0","0","0","0"
"15","13","8","2","0","0","0","0","0","0","0"
"16","13","4","2","0","0","0","0","0","0","0"
"17","13","8","0","0","0","0","0","0","0","0"
"19","13","6","1","0","0","0","0","0","0","0"
"20","13","8","0","0","0","0","0","0","0","0"
"21","13","5","2","0","0","0","0","0","0","0"
"22","13","7","0","0","0","0","0","0","0","0"
"23","13","6","1","0","0","0","0","0","0","0"
"24","13","8","2","0","0","0","0","0","0","0"
"25","13","6","0","0","0","0","0","0","0","0"
"27","13","7","2","0","0","0","0","0","0","0"
"28","13","6","2","0","0","0","0","0","0","0"
"1","15","6","1","1","0","0","0","0","0","0"
"2","15","9","0","0","0","0","0","0","0","0"
"3","15","6","3","0","0","0","0","0","0","0"
"4","15","7","2","0","0","0","0","0","0","0"
"5","15","4","2","0","0","0","0","0","0","0"
"6","15","6","2","0","0","0","0","0","0","0"
"7","15","6","1","0","0","0","0","0","0","0"
"8","15","8","0","0","0","0","0","0","0","0"
"9","15","4","2","0","0","0","0","0","0","0"
"11","15","6","2","0","0","0","0","0","0","0"
"12","15","5","0","0","0","0","0","0","0","0"
"13","15","7","0","0","0","0","0","0","0","0"
"14","15","5","2","0","0","0","0","0","0","0"
"15","15","7","2","0","0","0","0","0","0","0"
"16","15","5","0","0","0","0","0","0","0","0"
"17","15","7","2","0","0","0","0","0","0","0"
"18","15","5","3","0","0","0","0","0","0","0"
"19","15","6","0","0","0","0","0","0","0","0"
"20","15","8","1","0","0","0","0","0","0","0"
"21","15","4","2","0","0","0","0","0","0","0"
"22","15","7","2","0","0","0","0","0","0","0"
"23","15","8","0","0","0","0","0","0","0","0"
"24","15","6","2","0","0","0","0","0","0","0"
"25","15","8","1","0","0","0","0","0","0","0"
"26","15","6","1","0","0","0","0","0","0","0"
"27","15","8","2","0","0","0","0","0","0","0"
"1","18","5","2","0","0","0","0","0","0","0"
"2","18","6","3","0","0","0","0","0","0","0"
"3","18","4","2","0","0","0","0","0","0","0"
"4","18","6","0","0","0","0","0","0","0","0"
"5","18","8","2","0","0","0","0","0","0","0"
"6","18","4","2","0","0","0","0","0","0","0"
"7","18","6","3","0","0","0","0","0","0","0"
"8","18","4","2","0","0","0","0","0","0","0"
"9","18","6","0","0","0","0","0","0","0","0"
"10","18","8","0","0","0","0","0","0","0","0"
"11","18","6","2","0","0","0","0","0","0","0"
"12","18","8","0","0","0","0","0","0","0","0"
"13","18","5","1","0","0","0","0","0","0","0"
"14","18","7","1","0","0","0","0","0","0","0"
"15","18","4","1","0","0","0","0","0","0","0"
"16","18","6","2","0","0","0","0","0","0","0"
"17","18","4","2","0","0","0","0","0","0","0"
"19","18","5","2","0","0","0","0","0","0","0"
"20","18","3","1","0","0","0","0","0","0","0"
"21","18","7","0","0","0","0","0","0","0","0"
"22","18","6","1","0","0","0","0","0","0","0"
"23","18","7","1","0","0","0","0","0","0","0"
"24","18","5","0","0","0","0","0","0","0","0"
"25","18","7","2","0","0","1","0","0","0","0"
"26","18","5","2","0","0","0","0","0","0","0"
"27","18","5","1","0","0","0","0","0","0","0"
"27","16","8","3","0","0","0","0","0","0","0"
"26","16","5","2","0","0","0","0","0","0","0"
"25","16","7","1","0","0","0","0","0","0","0"
"24","16","5","2","0","0","0","0","0","0","0"
"23","16","7","0","0","0","0","0","0","0","0"
"22","16","6","0","0","0","1","0","0","0","0"
"21","16","8","1","0","0","0","0","0","0","0"
"20","16","6","3","0","0","0","0","0","0","0"
"19","16","4","2","0","0","0","0","0","0","0"
"18","16","7","0","0","0","0","0","0","0","0"
"17","16","7","0","0","0","0","0","0","0","0"
"15","16","5","1","0","0","0","0","0","0","0"
"14","16","8","1","0","0","0","0","0","0","0"
"13","16","6","3","0","0","0","0","0","0","0"
"12","16","8","2","0","0","0","0","0","0","0"
"11","16","6","0","0","0","0","0","0","0","0"
"9","16","4","2","0","0","0","0","0","0","0"
"8","16","7","0","0","0","0","0","0","0","0"
"7","16","5","2","0","0","0","0","0","0","0"
"6","16","8","2","0","0","0","0","0","0","0"
"5","16","5","0","0","0","0","0","0","0","0"
"4","16","7","1","0","0","0","0","0","0","0"
"3","16","4","2","0","0","0","0","0","0","0"
"2","16","9","2","0","0","0","0","0","0","0"
"1","16","6","1","0","0","0","0","0","0","0"
"28","16","5","2","0","0","0","0","0","0","0"
"30","1","9","2","0","0","0","0","0","0","0"
"28","1","6","3","0","0","0","0","0","0","0"
"27","1","7","0","0","0","0","0","0","0","0"
"26","1","7","0","0","0","0","0","0","0","0"
"24","1","4","2","0","0","0","0","0","0","0"
"23","1","9","3","0","0","0","0","0","0","0"
"22","1","6","2","0","0","0","0","0","0","0"
"21","1","5","0","0","0","0","0","0","0","0"
"20","1","7","0","0","0","0","0","0","0","0"
"19","1","6","1","0","0","0","0","0","0","0"
"18","1","4","2","0","0","0","0","0","0","0"
"17","1","6","2","0","0","0","0","0","0","0"
"16","1","8","1","0","0","0","0","0","0","0"
"15","1","6","0","0","0","1","0","0","0","0"
"13","1","6","1","0","0","0","0","0","0","0"
"12","1","4","2","0","0","0","0","1","0","0"
"11","1","7","2","0","0","0","0","0","0","0"
"10","1","7","2","0","0","0","0","0","0","0"
"9","1","5","1","0","0","0","0","0","0","0"
"8","1","8","0","0","0","0","0","0","0","0"
"7","1","6","0","0","0","0","0","0","0","0"
"6","1","4","2","0","0","0","0","0","0","0"
"5","1","6","3","0","0","0","0","0","0","0"
"4","1","7","0","0","0","0","0","0","0","0"
"3","1","5","3","0","0","0","0","0","0","0"
"2","1","8","1","0","0","0","0","0","0","0"
"1","1","6","1","0","0","0","0","0","0","0"
"28","14","6","3","0","0","0","0","0","0","0"
"27","14","1","2","0","0","0","0","0","0","0"
"26","14","7","1","0","0","0","0","0","0","0"
"25","14","5","0","0","0","0","0","0","0","0"
"24","14","7","0","0","0","0","0","0","0","0"
"23","14","4","1","0","0","1","0","0","0","0"
"22","14","5","3","0","0","0","0","0","0","0"
"21","14","4","0","0","0","0","0","0","0","0"
"20","14","7","1","0","0","0","0","0","0","0"
"19","14","5","2","0","0","0","0","0","0","0"
"18","14","4","0","0","0","0","0","0","0","0"
"17","14","6","1","0","0","0","0","0","0","0"
"16","14","4","2","0","0","0","0","0","0","0"
"15","14","5","3","0","0","0","0","0","0","0"
"14","14","4","0","0","0","0","0","0","0","0"
"13","14","5","1","0","0","0","0","0","0","0"
"12","14","3","0","0","0","0","0","0","0","0"
"11","14","8","0","0","0","0","0","0","0","0"
"10","14","3","2","0","0","0","0","0","0","0"
"9","14","7","3","0","0","0","0","0","0","0"
"8","14","8","1","1","0","0","0","0","0","0"
"7","14","6","2","0","0","0","0","0","0","0"
"6","14","8","0","0","0","0","0","0","0","0"
"5","14","6","1","0","0","0","0","0","0","0"
"4","14","5","3","0","0","0","0","1","0","0"
"3","14","7","2","0","0","0","0","0","0","0"
"2","14","8","2","0","0","0","0","0","0","0"
"1","14","7","0","0","0","0","0","0","0","0"
"1","18","7","2","0","0","0","0","0","0","0"
"2","18","5","2","0","0","0","0","1","0","0"
"3","18","3","1","0","0","0","0","0","0","0"
"4","18","8","1","2","0","0","0","0","0","0"
"5","18","3","0","0","0","0","0","0","0","0"
"6","18","7","3","0","0","0","0","0","0","0"
"7","18","4","1","0","0","1","1","1","0","0"
"8","18","6","0","0","0","0","0","0","0","0"
"11","18","4","0","0","0","0","0","0","0","0"
"12","18","6","1","0","0","0","0","0","0","0"
"13","18","5","2","0","0","0","0","0","0","0"
"14","18","6","0","2","0","0","0","0","0","0"
"16","18","7","2","0","0","0","0","1","0","0"
"17","18","5","2","0","0","0","0","0","0","0"
"18","18","5","0","0","0","0","0","0","0","0"
"19","18","6","1","0","0","0","0","0","1","1"
"20","18","10","3","0","0","0","0","0","0","0"
"21","18","3","1","0","0","0","0","0","0","0"
"22","18","5","2","0","0","0","0","0","0","0"
"23","18","6","1","0","0","0","0","0","0","0"
"24","18","5","1","0","0","0","0","0","0","0"
"25","18","4","1","0","0","0","0","0","0","0"
"26","18","4","1","0","0","0","0","0","0","0"
"27","18","7","2","0","0","0","0","0","0","0"
"9","18","4","1","0","0","0","0","0","0","0"
"10","18","6","1","0","0","0","0","0","0","0"
"1","13","3","1","0","0","0","0","0","0","0"
"2","13","5","2","0","0","0","0","0","0","0"
"3","13","5","3","0","0","0","0","0","0","0"
"5","13","9","3","1","0","0","0","0","0","0"
"6","13","10","3","0","0","0","0","0","0","0"
"7","13","7","2","0","0","0","0","0","0","0"
"8","13","6","0","0","0","0","0","0","0","0"
"9","13","4","2","0","0","0","0","1","0","0"
"11","13","5","2","0","0","0","0","0","0","0"
"12","13","4","0","0","0","0","0","0","0","0"
"13","13","6","1","0","0","0","0","0","0","0"
"14","13","4","1","0","0","0","0","0","0","0"
"16","13","5","0","0","0","0","0","0","0","0"
"18","13","3","1","0","0","0","0","0","0","0"
"19","13","4","2","0","0","0","0","1","0","0"
"20","13","2","0","0","0","0","0","0","0","0"
"21","13","7","2","0","0","0","0","0","0","0"
"22","13","4","0","0","0","0","0","0","0","0"
"23","13","5","2","0","0","0","0","0","0","0"
"25","13","4","1","0","0","1","0","0","0","0"
"24","13","2","0","0","0","0","0","0","0","0"
"27","13","6","3","0","0","0","0","0","0","0"
"28","13","3","1","0","0","0","0","1","0","0"
"30","13","3","0","0","0","0","0","0","0","0"
"31","13","5","2","0","0","0","0","0","0","0"
"32","13","4","2","0","0","0","0","0","1","1"
"1","14","4","1","0","0","0","0","0","0","0"
"2","14","3","1","0","0","0","0","0","0","0"
"3","14","5","0","0","0","0","0","0","0","0"
"4","14","9","3","0","0","0","0","1","0","0"
"5","14","5","1","1","0","0","0","0","0","0"
"6","14","5","2","0","0","0","0","0","0","0"
"7","14","5","3","0","0","0","0","0","0","0"
"8","14","2","0","0","0","0","0","0","0","0"
"9","14","5","1","0","0","0","0","0","0","0"
"10","14","4","2","0","0","0","0","1","0","0"
"11","14","8","3","1","0","0","0","0","0","0"
"12","14","4","0","0","0","0","0","0","0","0"
"13","14","3","1","0","0","0","0","0","0","0"
"14","14","6","3","0","0","0","0","0","0","0"
"15","14","3","1","0","0","0","0","0","0","0"
"16","14","6","2","0","0","0","0","0","0","0"
"18","14","4","2","0","0","0","0","0","0","0"
"19","14","3","1","0","0","0","0","0","0","0"
"20","14","3","2","0","0","0","0","0","0","0"
"21","14","4","2","0","0","0","0","1","0","0"
"22","14","7","3","0","0","0","0","0","0","0"
"23","14","4","1","0","0","0","0","0","0","0"
"24","14","7","3","0","0","0","0","0","0","0"
"26","14","3","1","0","0","0","0","0","0","0"
"27","14","5","1","0","0","0","0","0","0","0"
"28","14","3","1","0","0","0","0","0","0","0"
"1","12","5","2","0","0","0","0","0","0","0"
"2","12","1","0","1","0","0","0","0","0","0"
"3","12","4","0","0","0","0","0","0","0","0"
"4","12","9","1","0","0","0","0","1","0","0"
"5","12","7","2","0","0","0","0","0","0","0"
"6","12","7","2","0","0","0","0","0","0","0"
"7","12","2","0","0","0","0","0","0","0","0"
"8","12","3","0","1","0","0","0","0","0","0"
